
SL	TIME	TITLE
40	06.32	 Google Ads Conversion Page View Tricking with Google Tag Manager  
65	10.36	 Google Ads Conversion Add to Cart Setup with Google Tag Manager  
66	11.38	 Google Ads Conversion Begin Checkout Tag Setup with Google Tag Manager 
68	11.59	 Google Ads Conversion Purchase Tag Setup with Google Tag Manager  

01	00.52	 Shopify Facebook Pixel Conversion API  Server Side tracking  Eneble Data layer EEC track
02	01.03	 Shopify Patment Method setup for Practice | Bogus Payment Method
16	04.22	 Shopify Newsletter Subscription Tag setup for Google Analytics 4 with Google Tag Manager  
27	05.28	 Shopify Contact Form Submit Tag setup with Parameters for Google Analytics 4 with Google Tag Manager  
30	05.41	 Shopify Add to Cart Tag with Parameters for Google Analytics 4 with Google Tag Manager
33	06.01	 Shopify Begin Checkout Tag with Parameters for Google Analytics 4 with GTM 
44	06.53	 Shopify View Item Tag with Parameters for Google Analytics 4 with Google Tag Manager 
51	07.43	 Shopify Connect to Google Analytics 4 through Google Tag Manager 
61	09.13	 Shopify Data Layer Enable and Connect Google Tag Manager | Shopify Tracking Setup | Part 01  
62	09.34	 Shopify Purchase Tag with Parameters for Google Analytics 4 with Google Tag Manager 
70	12.20	 Enable Data layer on Shopify Website 2023 | How to Enable Data layer Shopify Website 2023  

08	02.30	 Claim website in Pinterest | Verify domain on Pinterest|How to claim website in pinterest 
37	06.23	 Pinterest Tag Setup with Google Tag Manager | Install Pinterest tag with GTM 
49	07.31	 Pinterest Video Tag Setup with Google Tag Manager | Install Pinterest tag with GTM 
52	07.50	 Pinterest Page Visit Tag Setup with Google Tag Manager | Install Pinterest tag with GTM 
57	08.21	 Pinterest Add to Cart setup with Google Tag Manager | Pinterest Conversion tracking 
59	08.45	 Pinterest Purchase Tag setup with Google Tag Manager | Pinterest Checkout tag 
67	11.40	 Pinterest Conversion API Setup with Google Tag Manager | Pinterest Conversion API 




21	05.12	 Connect Messenger to WordPress website 2023 | Setup messenger in wordpress website

19	05.00	 Fiverr English Language Test 2023 | English Language test on fiverr 2023 | 8 out of 10
24	05.23	 Fiverr Customer Service skill test Answers 2023 
32	06.01	 Fiverr Social Media Marketing Skill Test 2023 
39	06.29	 How to pass Fiverr English Test in 2023 | Fiverr English test 2023 
48	07.26	 Fiverr Analytical Skill Test 2023 


